,URL,whois,creation,expiration
0,http://www.peanutbutterpizza.com/nexp_/index.htm,"(['PEANUTBUTTERPIZZA.COM', 'peanutbutterpizza.com'], [datetime.datetime(1998, 9, 22, 4, 0), datetime.datetime(1998, 9, 21, 23, 0)], [datetime.datetime(2021, 10, 12, 3, 59, 59), datetime.datetime(2021, 10, 11, 22, 59, 59)])",1998-09-22 04:00:00,2021-10-12 03:59:59
1,http://www.whipps.com.au/,"('WHIPPS.COM.AU', None, None)",,
2,http://www.zoe-industries.com/,"('ZOE-INDUSTRIES.COM', [datetime.datetime(2002, 1, 12, 21, 39, 47), datetime.datetime(2002, 1, 12, 16, 39, 47)], [datetime.datetime(2022, 1, 12, 21, 39, 47), datetime.datetime(2022, 1, 12, 16, 39, 47)])",2002-01-12 21:39:47,2022-01-12 21:39:47
3,http://www.massgolftennis.com/,"('MASSGOLFTENNIS.COM', datetime.datetime(2009, 6, 5, 16, 5, 45), datetime.datetime(2022, 6, 5, 16, 5, 45))",2009-06-05 16:05:45,2022-06-05 16:05:45
4,http://www.xguitar.com/guitar-tabs/pantera/,"(['XGUITAR.COM', 'xguitar.com'], datetime.datetime(2002, 6, 20, 23, 26, 5), datetime.datetime(2022, 6, 20, 23, 26, 5))",2002-06-20 23:26:05,2022-06-20 23:26:05
5,http://www.cherrylandhumane.org/,"(['CHERRYLANDHUMANE.ORG', 'cherrylandhumane.org'], datetime.datetime(2003, 5, 16, 15, 13, 17), datetime.datetime(2022, 5, 16, 15, 13, 17))",2003-05-16 15:13:17,2022-05-16 15:13:17
6,http://www.ovaprima.org/,"('OVAPRIMA.ORG', datetime.datetime(2002, 12, 4, 10, 40, 32), datetime.datetime(2021, 12, 4, 10, 40, 32))",2002-12-04 10:40:32,2021-12-04 10:40:32
7,http://www.andyneill.com/,"(['ANDYNEILL.COM', 'andyneill.com'], datetime.datetime(2015, 4, 4, 18, 38, 14), datetime.datetime(2022, 4, 4, 18, 38, 14))",2015-04-04 18:38:14,2022-04-04 18:38:14
8,http://www.epicurious.com/recipes/recipe_views/views/40015/,"(['EPICURIOUS.COM', 'epicurious.com'], [datetime.datetime(1995, 5, 11, 4, 0), datetime.datetime(1995, 5, 11, 0, 0)], [datetime.datetime(2021, 12, 15, 22, 18, 3), datetime.datetime(2021, 12, 15, 17, 18, 3)])",1995-05-11 04:00:00,2021-12-15 22:18:03
9,http://www.alba-gruppe.ch/,"(None, None, None)",,
10,http://www.tv.com/greys-anatomy/show/24440/summary.html,"('TV.COM', datetime.datetime(1996, 5, 29, 4, 0), datetime.datetime(2023, 5, 28, 4, 0))",1996-05-29 04:00:00,2023-05-28 04:00:00
11,http://newfoundlandfood.tripod.com/codfillet.html,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00
12,http://www.gvphotography.com/,"('GVPHOTOGRAPHY.COM', datetime.datetime(2002, 12, 9, 20, 59, 58), datetime.datetime(2021, 12, 9, 20, 59, 58))",2002-12-09 20:59:58,2021-12-09 20:59:58
13,http://www.centristic.co.uk/,"('centristic.co.uk', datetime.datetime(2008, 7, 30, 0, 0), datetime.datetime(2021, 7, 30, 0, 0))",2008-07-30 00:00:00,2021-07-30 00:00:00
14,http://tools.ietf.org/html/rfc1677,"('IETF.ORG', datetime.datetime(1995, 3, 11, 5, 0), datetime.datetime(2022, 3, 12, 5, 0))",1995-03-11 05:00:00,2022-03-12 05:00:00
15,http://www.bbc.co.uk/news/uk-19305417,"('bbc.co.uk', 'before Aug-1996', datetime.datetime(2025, 12, 13, 0, 0))",before Aug-1996,2025-12-13 00:00:00
16,http://naegeliusa.com/,"(['NAEGELIUSA.COM', 'naegeliusa.com'], [datetime.datetime(2012, 6, 20, 20, 13, 2), datetime.datetime(2012, 6, 20, 15, 13, 2)], [datetime.datetime(2025, 6, 20, 20, 13, 2), datetime.datetime(2025, 6, 20, 15, 13, 2)])",2012-06-20 20:13:02,2025-06-20 20:13:02
17,http://www.hanus.sk/,"('hanus.sk', datetime.datetime(2003, 4, 15, 0, 0), datetime.datetime(2022, 4, 15, 0, 0))",2003-04-15 00:00:00,2022-04-15 00:00:00
18,http://www.nlm.nih.gov/medlineplus/druginfo/meds/a692044.html,"('NIH.GOV', None, None)",,
19,http://www.gamewinners.com/playstation/KnightAndBaby.htm,"('GAMEWINNERS.COM', datetime.datetime(1997, 10, 4, 4, 0), datetime.datetime(2022, 10, 3, 4, 0))",1997-10-04 04:00:00,2022-10-03 04:00:00
20,http://dekovic.tripod.com/,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00
21,http://www.nacc.edu/,"('NACC.EDU', None, None)",,
22,http://www.digauto.com/,"('DIGAUTO.COM', datetime.datetime(2000, 2, 22, 14, 36, 16), datetime.datetime(2022, 2, 22, 14, 36, 16))",2000-02-22 14:36:16,2022-02-22 14:36:16
23,http://homepage.eircom.net/~formika,"('EIRCOM.NET', datetime.datetime(1998, 11, 26, 5, 0), datetime.datetime(2021, 11, 25, 5, 0))",1998-11-26 05:00:00,2021-11-25 05:00:00
24,http://double-d-reptiles.tripod.com/reticcare.html,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00
25,http://www.nfti.com/,"('NFTI.COM', datetime.datetime(1997, 2, 12, 5, 0), datetime.datetime(2022, 2, 13, 5, 0))",1997-02-12 05:00:00,2022-02-13 05:00:00
26,http://www.sixmilebridgegaa.com/,"('SIXMILEBRIDGEGAA.COM', datetime.datetime(2004, 12, 16, 9, 40, 16), datetime.datetime(2021, 12, 16, 9, 40, 16))",2004-12-16 09:40:16,2021-12-16 09:40:16
27,http://home.gci.net/~shem/,"(['GCI.NET', 'gci.net'], datetime.datetime(1996, 10, 29, 5, 0), datetime.datetime(2026, 10, 28, 4, 0))",1996-10-29 05:00:00,2026-10-28 04:00:00
28,http://www.gutenberg.org/etext/2219,"('GUTENBERG.ORG', datetime.datetime(1996, 12, 1, 5, 0), datetime.datetime(2030, 11, 30, 5, 0))",1996-12-01 05:00:00,2030-11-30 05:00:00
29,http://www.credo-interactive.com/,"('CREDO-INTERACTIVE.COM', datetime.datetime(1997, 5, 28, 4, 0), datetime.datetime(2022, 5, 27, 4, 0))",1997-05-28 04:00:00,2022-05-27 04:00:00
30,http://www.johio.com/,"(['JOHIO.COM', 'johio.com'], datetime.datetime(2000, 12, 10, 21, 31, 28), [datetime.datetime(2021, 12, 10, 21, 31, 28), datetime.datetime(2021, 12, 10, 0, 0)])",2000-12-10 21:31:28,2021-12-10 21:31:28
31,http://www.tailoredfabrics.com/,"('TAILOREDFABRICS.COM', datetime.datetime(2003, 1, 20, 20, 50, 32), datetime.datetime(2022, 1, 20, 20, 50, 32))",2003-01-20 20:50:32,2022-01-20 20:50:32
32,http://www.rvsearch.com/,"(['RVSEARCH.COM', 'rvsearch.com'], [datetime.datetime(1996, 12, 20, 5, 0), datetime.datetime(1996, 12, 20, 0, 0)], [datetime.datetime(2022, 12, 19, 5, 0), datetime.datetime(2022, 12, 19, 0, 0)])",1996-12-20 05:00:00,2022-12-19 05:00:00
33,http://www.mendelu.cz/arboretum/orchids/Stanhopea/Stanhopea.html,"('mendelu.cz', datetime.datetime(1997, 4, 10, 2, 0), datetime.datetime(2029, 10, 29, 0, 0))",1997-04-10 02:00:00,2029-10-29 00:00:00
34,http://gedcom4j.org/,"(['GEDCOM4J.ORG', 'gedcom4j.org'], datetime.datetime(2020, 2, 14, 14, 30, 30), datetime.datetime(2022, 2, 14, 14, 30, 30))",2020-02-14 14:30:30,2022-02-14 14:30:30
35,http://www.angelfire.com/anime/catKOF/,"(['ANGELFIRE.COM', 'angelfire.com'], [datetime.datetime(1998, 10, 15, 4, 0), datetime.datetime(1998, 10, 15, 0, 0)], [datetime.datetime(2021, 10, 14, 4, 0), datetime.datetime(2021, 10, 14, 0, 0)])",1998-10-15 04:00:00,2021-10-14 04:00:00
36,http://www.medetzsurgical.com/,"('MEDETZSURGICAL.COM', [datetime.datetime(2007, 6, 21, 13, 1, 44), datetime.datetime(2007, 6, 21, 8, 1, 44)], [datetime.datetime(2022, 6, 21, 13, 1, 44), datetime.datetime(2022, 6, 21, 8, 1, 44)])",2007-06-21 13:01:44,2022-06-21 13:01:44
37,http://qsxl.psych.ac.cn/,"('psych.ac.cn', datetime.datetime(1997, 1, 5, 0, 0), datetime.datetime(2027, 7, 1, 0, 0))",1997-01-05 00:00:00,2027-07-01 00:00:00
38,http://www.conservation.org/,"('CONSERVATION.ORG', datetime.datetime(1994, 2, 15, 5, 0), datetime.datetime(2022, 2, 16, 5, 0))",1994-02-15 05:00:00,2022-02-16 05:00:00
39,http://www.chemistry.ohio-state.edu/~dutta/,"(None, None, None)",,
40,http://www.realestateschool.org/,"('REALESTATESCHOOL.ORG', datetime.datetime(1999, 11, 16, 19, 43, 36), datetime.datetime(2030, 11, 16, 19, 43, 35))",1999-11-16 19:43:36,2030-11-16 19:43:35
41,http://www.who.int/water_sanitation_health/diseases/en/,"(None, None, None)",,
42,http://www.rarediseases.org/search/rdbdetail_abstract.html?disname=Thalamic+Syndrome+(Dejerine+Roussy),"('RAREDISEASES.ORG', datetime.datetime(1998, 6, 2, 4, 0), datetime.datetime(2022, 6, 1, 4, 0))",1998-06-02 04:00:00,2022-06-01 04:00:00
43,http://www.ics.uci.edu/~eppstein/junkyard/polyomino.html,"(None, None, None)",,
44,http://www.solutionwerks.com/,"('SOLUTIONWERKS.COM', [datetime.datetime(2000, 6, 25, 13, 13, 8), datetime.datetime(2000, 6, 25, 9, 13, 8)], [datetime.datetime(2022, 6, 25, 13, 13, 8), datetime.datetime(2022, 6, 25, 5, 13, 8)])",2000-06-25 13:13:08,2022-06-25 13:13:08
45,http://www.siamware.com/,"(['SIAMWARE.COM', 'siamware.com'], [datetime.datetime(2004, 1, 26, 10, 51, 9), datetime.datetime(2004, 1, 26, 4, 0)], [datetime.datetime(2022, 1, 26, 10, 51, 9), datetime.datetime(2022, 1, 26, 4, 0)])",2004-01-26 10:51:09,2022-01-26 10:51:09
46,http://centralohiosheltierescue.org/,"(['CENTRALOHIOSHELTIERESCUE.ORG', 'centralohiosheltierescue.org'], datetime.datetime(2008, 8, 21, 2, 47, 11), datetime.datetime(2021, 8, 21, 2, 47, 11))",2008-08-21 02:47:11,2021-08-21 02:47:11
47,http://lcweb2.loc.gov/frd/cs/zrtoc.html,"('LOC.GOV', None, None)",,
48,http://www.sageauction.com/,"(['SAGEAUCTION.COM', 'sageauction.com'], [datetime.datetime(2004, 2, 1, 12, 1, 23), datetime.datetime(2004, 2, 1, 7, 1, 23)], [datetime.datetime(2022, 2, 1, 12, 1, 23), datetime.datetime(2022, 2, 1, 7, 1, 23)])",2004-02-01 12:01:23,2022-02-01 12:01:23
49,http://homevideo.about.com/library/weekly/aafpr020702.htm,"('ABOUT.COM', datetime.datetime(1999, 3, 12, 5, 0), datetime.datetime(2022, 3, 12, 4, 0))",1999-03-12 05:00:00,2022-03-12 04:00:00
50,http://www.glaspolerecords.com/,"('GLASPOLERECORDS.COM', datetime.datetime(2005, 2, 23, 11, 28, 19), datetime.datetime(2022, 2, 23, 11, 28, 19))",2005-02-23 11:28:19,2022-02-23 11:28:19
51,http://www.mexique-fr.com/,"(['MEXIQUE-FR.COM', 'mexique-fr.com'], [datetime.datetime(2000, 9, 30, 18, 2, 37), datetime.datetime(2000, 9, 30, 16, 2, 37)], [datetime.datetime(2021, 9, 30, 18, 2, 37), datetime.datetime(2021, 9, 30, 16, 2, 37)])",2000-09-30 18:02:37,2021-09-30 18:02:37
52,http://www.ewtn.com/library/MARY/MEDAL.htm,"('EWTN.COM', [datetime.datetime(1996, 1, 12, 5, 0), datetime.datetime(1996, 1, 12, 4, 0)], [datetime.datetime(2022, 1, 11, 5, 0), datetime.datetime(2022, 1, 11, 4, 0)])",1996-01-12 05:00:00,2022-01-11 05:00:00
53,http://pespmc1.vub.ac.be/LIBRARY.html,"(None, None, None)",,
54,http://www.academic-genealogy.com/,"('ACADEMIC-GENEALOGY.COM', datetime.datetime(2002, 5, 15, 17, 45, 37), datetime.datetime(2030, 5, 15, 17, 45, 37))",2002-05-15 17:45:37,2030-05-15 17:45:37
55,http://www.splatterreah.com/,"('SPLATTERREAH.COM', [datetime.datetime(2001, 12, 13, 5, 36, 21), datetime.datetime(2001, 12, 13, 0, 36, 21)], [datetime.datetime(2022, 12, 13, 5, 36, 21), datetime.datetime(2022, 12, 13, 0, 36, 21)])",2001-12-13 05:36:21,2022-12-13 05:36:21
56,http://www.aoe.vt.edu/~mason/Mason_f/CAtxtTop.html,"('VT.EDU', None, None)",,
