,URL,whois,creation,expiration,duration
0,http://www.lf1.cuni.cz/default.asp?nLanguageID=2,"('cuni.cz', datetime.datetime(1996, 10, 3, 1, 0), datetime.datetime(2025, 10, 10, 0, 0))",1996-10-03 01:00:00,2025-10-10 00:00:00,10598 days 23:00:00
1,http://www.thecustomcards.com/,"('THECUSTOMCARDS.COM', datetime.datetime(2021, 1, 24, 19, 12, 39), datetime.datetime(2022, 1, 24, 19, 12, 39))",2021-01-24 19:12:39,2022-01-24 19:12:39,365 days 00:00:00
2,http://tillamook.cpcbsa.org/,"(['CPCBSA.ORG', 'cpcbsa.org'], [datetime.datetime(1996, 10, 22, 4, 0), datetime.datetime(1996, 10, 21, 21, 0)], datetime.datetime(2021, 10, 21, 4, 0))",1996-10-22 04:00:00,2021-10-21 04:00:00,9130 days 00:00:00
3,http://www.mpaskina.com/,"(['MPASKINA.COM', 'mpaskina.com'], [datetime.datetime(2009, 1, 10, 20, 1, 5), datetime.datetime(2009, 1, 10, 15, 1, 5)], [datetime.datetime(2022, 1, 10, 20, 1, 5), datetime.datetime(2022, 1, 10, 15, 1, 5)])",2009-01-10 20:01:05,2022-01-10 20:01:05,4748 days 00:00:00
4,http://www.wiltsgames.co.uk/highsociety.html,"('wiltsgames.co.uk', datetime.datetime(2020, 8, 6, 0, 0), datetime.datetime(2021, 8, 6, 0, 0))",2020-08-06 00:00:00,2021-08-06 00:00:00,365 days 00:00:00
5,http://www.morrismortgage.com/,"('MORRISMORTGAGE.COM', [datetime.datetime(2000, 1, 5, 20, 1, 36), datetime.datetime(2000, 1, 5, 15, 1, 36)], [datetime.datetime(2027, 1, 5, 20, 1, 36), datetime.datetime(2027, 1, 5, 15, 1, 36)])",2000-01-05 20:01:36,2027-01-05 20:01:36,9862 days 00:00:00
6,http://www.bryndole.com/April-01-2002_GOD_PR.html,"('BRYNDOLE.COM', datetime.datetime(2007, 11, 7, 22, 14, 28), datetime.datetime(2021, 11, 7, 22, 14, 28))",2007-11-07 22:14:28,2021-11-07 22:14:28,5114 days 00:00:00
7,http://www.angelfire.com/tx/firstbaptist/,"(['ANGELFIRE.COM', 'angelfire.com'], [datetime.datetime(1998, 10, 15, 4, 0), datetime.datetime(1998, 10, 15, 0, 0)], [datetime.datetime(2021, 10, 14, 4, 0), datetime.datetime(2021, 10, 14, 0, 0)])",1998-10-15 04:00:00,2021-10-14 04:00:00,8400 days 00:00:00
8,http://www.pastelsandpencils.com/,"(['PASTELSANDPENCILS.COM', 'pastelsandpencils.com'], datetime.datetime(2004, 10, 3, 10, 4, 4), datetime.datetime(2021, 10, 3, 10, 4, 4))",2004-10-03 10:04:04,2021-10-03 10:04:04,6209 days 00:00:00
9,http://www.rsmee.com/,"('RSMEE.COM', datetime.datetime(2001, 7, 24, 12, 31, 49), datetime.datetime(2021, 7, 24, 12, 31, 48))",2001-07-24 12:31:49,2021-07-24 12:31:48,7304 days 23:59:59
10,http://www.bostonglobe.com/sports,"('BOSTONGLOBE.COM', datetime.datetime(1998, 1, 14, 5, 0), datetime.datetime(2025, 1, 13, 5, 0))",1998-01-14 05:00:00,2025-01-13 05:00:00,9861 days 00:00:00
11,http://www.galinsky.com/buildings/schroder/index.htm,"(['GALINSKY.COM', 'galinsky.com'], [datetime.datetime(1997, 8, 26, 4, 0), datetime.datetime(1997, 8, 26, 0, 0)], datetime.datetime(2021, 8, 25, 4, 0))",1997-08-26 04:00:00,2021-08-25 04:00:00,8765 days 00:00:00
12,http://www.rxlist.com/cgi/generic/alprostadil.htm,"(['RXLIST.COM', 'rxlist.com'], [datetime.datetime(1995, 11, 14, 5, 0), datetime.datetime(1995, 11, 14, 0, 0)], [datetime.datetime(2021, 9, 21, 16, 43, 7), datetime.datetime(2021, 9, 21, 0, 0)])",1995-11-14 05:00:00,2021-09-21 16:43:07,9443 days 11:43:07
13,http://members.tripod.com/penny_hardaway1/,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00,9861 days 00:00:00
